epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2050.77,0.82654,0.58388,0.93697,0.99191,0.99307,0.995,0.73141,0.9372,0.52507,0.9919,0.000820675,0.000820675,0.000820675
88,2073.37,0.81528,0.5538,0.93238,0.99572,0.9907,0.995,0.7227,0.95973,0.54055,0.99671,0.000813601,0.000813601,0.000813601
89,2095.53,0.82151,0.56331,0.91618,0.99333,0.99132,0.995,0.72116,0.98256,0.54616,1.0098,0.000806528,0.000806528,0.000806528
90,2117.78,0.87575,0.59249,0.95278,0.99547,0.98993,0.995,0.72216,0.98944,0.54748,1.01628,0.000799454,0.000799454,0.000799454
91,2139.9,0.81454,0.53278,0.91987,0.991,0.98993,0.995,0.72656,0.97587,0.53519,1.01041,0.00079238,0.00079238,0.00079238
92,2161.97,0.83748,0.55112,0.92119,0.99126,0.9889,0.995,0.74143,0.96461,0.53566,1.00059,0.000785307,0.000785307,0.000785307
93,2184.36,0.82338,0.54455,0.93638,0.99211,0.98821,0.995,0.75048,0.95573,0.53935,0.99641,0.000778233,0.000778233,0.000778233
94,2206.57,0.78639,0.55422,0.91825,0.99261,0.98804,0.995,0.75866,0.95601,0.53967,0.99834,0.00077116,0.00077116,0.00077116
95,2228.75,0.83348,0.54719,0.93961,0.9909,0.98911,0.995,0.72981,0.97303,0.54762,1.00777,0.000764086,0.000764086,0.000764086
96,2250.64,0.82901,0.56707,0.95128,0.98696,0.99084,0.995,0.73591,0.96797,0.56422,1.00939,0.000757013,0.000757013,0.000757013
97,2272.77,0.83067,0.58247,0.9318,0.98389,0.99265,0.995,0.72771,0.93843,0.55159,1.00735,0.000749939,0.000749939,0.000749939
98,2295.18,0.79663,0.51816,0.91753,0.98337,0.99407,0.995,0.7421,0.93156,0.53149,1.02494,0.000742866,0.000742866,0.000742866
99,2319.74,0.82977,0.52319,0.91243,0.98288,0.9947,0.995,0.7418,0.94624,0.52854,1.03369,0.000735792,0.000735792,0.000735792
100,2341.87,0.84134,0.58061,0.94316,0.98101,0.99513,0.995,0.71876,0.95812,0.51763,1.04302,0.000728719,0.000728719,0.000728719
101,2364.05,0.81933,0.53715,0.90393,0.97768,0.99552,0.995,0.72007,0.96669,0.54335,1.04454,0.000721645,0.000721645,0.000721645
102,2387.56,0.82284,0.56538,0.95014,0.97595,0.99585,0.995,0.72196,0.97568,0.57908,1.03134,0.000714571,0.000714571,0.000714571
103,2409.76,0.84462,0.58443,0.94537,0.97694,0.99604,0.995,0.73572,0.96503,0.56871,1.01903,0.000707498,0.000707498,0.000707498
104,2431.88,0.82305,0.56304,0.934,0.9818,0.99485,0.995,0.7338,0.9326,0.54886,1.00711,0.000700424,0.000700424,0.000700424
105,2454.03,0.84452,0.5153,0.90852,0.98726,0.99339,0.995,0.72171,0.94391,0.51805,1.02035,0.000693351,0.000693351,0.000693351
106,2476.62,0.79649,0.51482,0.91669,0.99142,0.99299,0.995,0.71302,0.9524,0.50173,1.01996,0.000686277,0.000686277,0.000686277
107,2498.69,0.82464,0.53422,0.92649,0.99099,0.994,0.995,0.73302,0.94424,0.48047,1.00512,0.000679204,0.000679204,0.000679204
108,2520.84,0.82743,0.53881,0.94376,0.98553,0.99658,0.995,0.74509,0.94426,0.48271,0.99576,0.00067213,0.00067213,0.00067213
109,2543.85,0.77289,0.51194,0.9167,0.98178,0.99794,0.995,0.74094,0.95168,0.51242,0.98284,0.000665057,0.000665057,0.000665057
110,2568.54,0.81359,0.56224,0.90878,0.9807,0.99727,0.995,0.74463,0.95566,0.52372,0.98003,0.000657983,0.000657983,0.000657983
111,2591.47,0.80563,0.58451,0.92871,0.98305,0.99694,0.995,0.745,0.94605,0.52346,0.97834,0.000650909,0.000650909,0.000650909
112,2615.94,0.81173,0.58635,0.95754,0.98779,0.9983,0.995,0.72917,0.9246,0.51672,0.97957,0.000643836,0.000643836,0.000643836
113,2639.9,0.82679,0.52574,0.94518,0.99101,0.99785,0.995,0.72346,0.91225,0.50457,0.9854,0.000636762,0.000636762,0.000636762
114,2662.17,0.76474,0.48327,0.90344,0.9917,0.99493,0.995,0.72774,0.91845,0.49351,0.99553,0.000629689,0.000629689,0.000629689
115,2684.28,0.80378,0.53716,0.91438,0.99067,0.99226,0.995,0.73085,0.96542,0.50041,1.01685,0.000622615,0.000622615,0.000622615
116,2706.21,0.80538,0.49757,0.91979,0.98874,0.99096,0.995,0.72935,1.00369,0.51285,1.03758,0.000615542,0.000615542,0.000615542
117,2727.95,0.80635,0.51656,0.93517,0.98797,0.99119,0.995,0.73173,1.00035,0.51707,1.03734,0.000608468,0.000608468,0.000608468
118,2749.76,0.82211,0.52634,0.94184,0.98709,0.9931,0.995,0.7455,0.95207,0.50653,1.00828,0.000601395,0.000601395,0.000601395
119,2771.62,0.80506,0.52906,0.95292,0.9856,0.99688,0.995,0.73986,0.91164,0.48556,0.98574,0.000594321,0.000594321,0.000594321
120,2793.53,0.80264,0.50048,0.91335,0.9861,0.99878,0.995,0.73567,0.91605,0.47596,0.98214,0.000587248,0.000587248,0.000587248
121,2815.51,0.81865,0.51479,0.91831,0.98339,0.99627,0.995,0.73233,0.91979,0.47339,0.98575,0.000580174,0.000580174,0.000580174
122,2837.49,0.80818,0.52078,0.92802,0.98221,0.99626,0.995,0.72448,0.92874,0.46744,0.99643,0.0005731,0.0005731,0.0005731
123,2859.71,0.73039,0.50397,0.92871,0.98478,0.99219,0.995,0.72113,0.94151,0.47895,0.99738,0.000566027,0.000566027,0.000566027
124,2881.52,0.76417,0.52993,0.92298,0.98323,0.99379,0.995,0.72712,0.94111,0.48729,0.99596,0.000558953,0.000558953,0.000558953
125,2903.65,0.81011,0.49277,0.92645,0.98327,0.99421,0.995,0.71547,0.9421,0.48092,0.99473,0.00055188,0.00055188,0.00055188
126,2927.36,0.7718,0.49591,0.9148,0.98436,0.99618,0.995,0.72989,0.9513,0.47103,0.9976,0.000544806,0.000544806,0.000544806
127,2949.35,0.81364,0.51134,0.9411,0.98522,0.9976,0.995,0.72922,0.95589,0.47319,1.00037,0.000537733,0.000537733,0.000537733
128,2971.34,0.77623,0.49111,0.92408,0.9851,0.99815,0.995,0.73858,0.94875,0.485,0.99568,0.000530659,0.000530659,0.000530659
129,2993.5,0.72694,0.48921,0.89093,0.98473,0.9983,0.995,0.73786,0.94418,0.48885,0.99178,0.000523586,0.000523586,0.000523586
130,3015.38,0.7541,0.49619,0.91903,0.98459,0.99671,0.995,0.74244,0.93692,0.48978,0.98867,0.000516512,0.000516512,0.000516512
131,3037.24,0.70457,0.49322,0.90184,0.9852,0.99491,0.995,0.7393,0.94277,0.49474,0.99381,0.000509438,0.000509438,0.000509438
132,3059.15,0.79176,0.50101,0.94401,0.98496,0.9933,0.995,0.73571,0.93282,0.49408,0.99266,0.000502365,0.000502365,0.000502365
133,3081.02,0.79003,0.50441,0.92103,0.98455,0.99243,0.995,0.73492,0.91579,0.4883,0.99092,0.000495291,0.000495291,0.000495291
134,3102.95,0.805,0.49749,0.9217,0.98471,0.99202,0.995,0.73749,0.90891,0.48988,0.99102,0.000488218,0.000488218,0.000488218
135,3124.86,0.7751,0.5088,0.9209,0.98465,0.99136,0.995,0.74055,0.90845,0.48854,0.98752,0.000481144,0.000481144,0.000481144
136,3146.73,0.79531,0.48131,0.94433,0.98427,0.99142,0.995,0.74654,0.91462,0.4865,0.98545,0.000474071,0.000474071,0.000474071
137,3168.66,0.77417,0.48117,0.92441,0.98387,0.99202,0.995,0.73959,0.92458,0.48697,0.98804,0.000466997,0.000466997,0.000466997
138,3190.6,0.77079,0.49662,0.93014,0.98419,0.99552,0.995,0.73945,0.92338,0.48981,0.98647,0.000459924,0.000459924,0.000459924
139,3214.81,0.77324,0.4733,0.909,0.98447,0.99813,0.995,0.75,0.92468,0.49059,0.98335,0.00045285,0.00045285,0.00045285
140,3236.65,0.76988,0.50455,0.91138,0.98404,0.99652,0.995,0.75063,0.9177,0.48849,0.97489,0.000445777,0.000445777,0.000445777
141,3258.69,0.78115,0.49458,0.92819,0.98385,0.99671,0.995,0.75126,0.91341,0.48562,0.9744,0.000438703,0.000438703,0.000438703
142,3280.66,0.75195,0.49093,0.91037,0.98444,0.99779,0.995,0.74273,0.91963,0.47831,0.98204,0.000431629,0.000431629,0.000431629
143,3302.54,0.7147,0.44326,0.90103,0.98569,0.9991,0.995,0.73517,0.94252,0.46846,0.9933,0.000424556,0.000424556,0.000424556
144,3324.45,0.74686,0.47231,0.91083,0.9873,0.99986,0.995,0.7368,0.95974,0.47025,1.00132,0.000417482,0.000417482,0.000417482
145,3346.4,0.76164,0.47704,0.92282,0.98809,0.99999,0.995,0.73247,0.95857,0.46853,0.99865,0.000410409,0.000410409,0.000410409
146,3368.13,0.76151,0.47199,0.89917,0.98883,0.99977,0.995,0.73457,0.94245,0.46511,0.99069,0.000403335,0.000403335,0.000403335
147,3389.93,0.72201,0.46479,0.90494,0.98881,1,0.995,0.73544,0.9249,0.46123,0.97986,0.000396262,0.000396262,0.000396262
148,3411.73,0.80021,0.48777,0.94014,0.98805,1,0.995,0.74639,0.90903,0.46088,0.96884,0.000389188,0.000389188,0.000389188
149,3433.62,0.71134,0.43214,0.89362,0.98626,1,0.995,0.76029,0.89685,0.45755,0.96077,0.000382115,0.000382115,0.000382115
150,3455.49,0.73806,0.49124,0.91993,0.9846,1,0.995,0.77127,0.89395,0.45499,0.95783,0.000375041,0.000375041,0.000375041
151,3477.35,0.73933,0.45541,0.93206,0.98505,1,0.995,0.76403,0.89739,0.44983,0.9602,0.000367967,0.000367967,0.000367967
152,3499.48,0.74831,0.46181,0.89176,0.98831,1,0.995,0.74002,0.91046,0.44518,0.97052,0.000360894,0.000360894,0.000360894
153,3523.6,0.73395,0.46395,0.8995,0.99067,1,0.995,0.73902,0.92776,0.44271,0.97865,0.00035382,0.00035382,0.00035382
154,3545.46,0.73771,0.4502,0.90755,0.99162,1,0.995,0.74668,0.93417,0.44054,0.98064,0.000346747,0.000346747,0.000346747
155,3567.43,0.74984,0.44841,0.91549,0.99248,1,0.995,0.75675,0.92827,0.44357,0.97804,0.000339673,0.000339673,0.000339673
156,3589.35,0.75321,0.45949,0.88624,0.99311,1,0.995,0.75816,0.92563,0.4458,0.97829,0.0003326,0.0003326,0.0003326
157,3611.24,0.71103,0.45325,0.89971,0.99335,1,0.995,0.76403,0.92972,0.4482,0.9807,0.000325526,0.000325526,0.000325526
158,3632.97,0.75474,0.47661,0.91547,0.99296,1,0.995,0.76204,0.93983,0.44971,0.98584,0.000318453,0.000318453,0.000318453
159,3654.89,0.74168,0.43848,0.91577,0.99232,1,0.995,0.75886,0.95561,0.4444,0.99142,0.000311379,0.000311379,0.000311379
160,3676.82,0.73942,0.46362,0.90889,0.99168,1,0.995,0.72986,0.96582,0.43634,0.99459,0.000304306,0.000304306,0.000304306
161,3698.67,0.74686,0.47937,0.9211,0.99102,1,0.995,0.73405,0.96747,0.43495,0.99557,0.000297232,0.000297232,0.000297232
162,3720.6,0.71193,0.44029,0.89921,0.99121,1,0.995,0.73413,0.96619,0.43469,0.99516,0.000290158,0.000290158,0.000290158
163,3742.48,0.74363,0.45609,0.89854,0.99112,1,0.995,0.73841,0.95763,0.43615,0.99162,0.000283085,0.000283085,0.000283085
164,3764.47,0.72952,0.46064,0.89303,0.99089,1,0.995,0.75825,0.94289,0.43679,0.98643,0.000276011,0.000276011,0.000276011
165,3786.21,0.71919,0.45284,0.89703,0.99077,1,0.995,0.75687,0.92916,0.43624,0.98218,0.000268938,0.000268938,0.000268938
166,3810.22,0.73966,0.43941,0.90722,0.99085,1,0.995,0.75355,0.92412,0.43428,0.98078,0.000261864,0.000261864,0.000261864
167,3832.31,0.73275,0.4423,0.91216,0.9913,1,0.995,0.75314,0.9191,0.43042,0.98068,0.000254791,0.000254791,0.000254791
168,3854.28,0.71362,0.4526,0.90133,0.99117,1,0.995,0.77077,0.91423,0.42787,0.9763,0.000247717,0.000247717,0.000247717
169,3876.35,0.71181,0.45995,0.89424,0.99069,1,0.995,0.765,0.91692,0.42832,0.9749,0.000240644,0.000240644,0.000240644
170,3898.64,0.71325,0.44151,0.91605,0.99043,0.99993,0.995,0.75273,0.92385,0.43002,0.97569,0.00023357,0.00023357,0.00023357
171,3920.47,0.76327,0.433,0.92623,0.98978,0.99901,0.995,0.74327,0.92631,0.42966,0.97675,0.000226497,0.000226497,0.000226497
172,3942.34,0.69746,0.43529,0.88676,0.98938,0.99988,0.995,0.74716,0.92823,0.43033,0.97882,0.000219423,0.000219423,0.000219423
173,3964.14,0.723,0.45576,0.88803,0.98827,1,0.995,0.7417,0.92952,0.43318,0.98151,0.000212349,0.000212349,0.000212349
174,3986.23,0.7137,0.42678,0.90015,0.98697,0.99761,0.995,0.74065,0.93184,0.43432,0.98327,0.000205276,0.000205276,0.000205276
175,4008.22,0.68122,0.44474,0.9411,0.98711,0.99582,0.995,0.74375,0.92878,0.43911,0.98139,0.000198202,0.000198202,0.000198202
176,4030.26,0.71519,0.4399,0.89572,0.98754,0.99398,0.995,0.74778,0.92208,0.44152,0.97497,0.000191129,0.000191129,0.000191129
177,4052.01,0.69441,0.44843,0.9247,0.98823,0.99262,0.995,0.74529,0.91659,0.44132,0.97058,0.000184055,0.000184055,0.000184055
178,4073.91,0.72426,0.46441,0.90442,0.98914,0.99197,0.995,0.75232,0.91397,0.44082,0.96752,0.000176982,0.000176982,0.000176982
179,4095.83,0.73678,0.44017,0.91676,0.98958,0.9911,0.995,0.74524,0.90845,0.4394,0.96506,0.000169908,0.000169908,0.000169908
180,4120.24,0.67906,0.42356,0.88944,0.99034,0.99089,0.995,0.74147,0.90138,0.43166,0.96566,0.000162835,0.000162835,0.000162835
181,4142.14,0.67499,0.40599,0.8778,0.99127,0.99043,0.995,0.74112,0.89974,0.42546,0.96757,0.000155761,0.000155761,0.000155761
182,4163.97,0.70049,0.44868,0.90373,0.99191,0.99019,0.995,0.7447,0.90039,0.42327,0.97181,0.000148687,0.000148687,0.000148687
183,4185.95,0.69875,0.41868,0.87366,0.99229,0.98978,0.995,0.75271,0.9002,0.42083,0.97444,0.000141614,0.000141614,0.000141614
184,4207.91,0.71927,0.44596,0.89704,0.99275,0.98962,0.995,0.75287,0.89877,0.42135,0.97632,0.00013454,0.00013454,0.00013454
185,4230.3,0.70976,0.45377,0.89575,0.99298,0.98983,0.995,0.75219,0.8966,0.41899,0.9779,0.000127467,0.000127467,0.000127467
186,4252.2,0.68097,0.42483,0.86895,0.9928,0.99009,0.995,0.75453,0.89403,0.41667,0.97746,0.000120393,0.000120393,0.000120393
